Shortcut,Full
JM1x,U19 Men's Single Sculls
JM2x,U19 Men's Double Sculls
JM2-,U19 Men's Pair
JM4x,U19 Men's Quadruple Sculls
JM4-,U19 Men's Four
JM4+,U19 Men's Coxed Four
JM8+,U19 Men's Eight
JW1x,U19 Women's Single Sculls
JW2x,U19 Women's Double Sculls
JW2-,U19 Women's Pair
JW4x,U19 Women's Quadruple Sculls
JW4-,U19 Women's Four
JW4+,U19 Women's Coxed Four
JW8+,U19 Women's Eight
BM1x,U23 Men's Single Sculls
BM2x,U23 Men's Double Sculls
BM2-,U23 Men's Pair
BM4x,U23 Men's Quadruple Sculls
BM4-,U23 Men's Four
BM4+,U23 Men's Coxed Four
BM8+,U23 Men's Eight
BW1x,U23 Women's Single Sculls
BW2x,U23 Women's Double Sculls
BW2-,U23 Women's Pair
BW4x,U23 Women's Quadruple Sculls
BW4-,U23 Women's Four
BW4+,U23 Women's Coxed Four
BW8+,U23 Women's Eight
BLM1x,U23 Lwt. Men's Single Sculls
BLM2x,U23 Lwt. Men's Double Sculls
BLM2-,U23 Lightweight Men's Pair
BLM4x,U23 Lwt. Men's Quadruple Scull
BLW1x,U23 Lwt. Women's Single Sculls
BLW2x,U23 Lwt. Women's Double Sculls
BLW2-,U23 Lwt. Women's Pair
BLW4x,U23 Lwt. Women's Quadruple Sculls
M1x,Men's Single Sculls
M2x,Men's Double Sculls
M2-,Men's Pair
M4x,Men's Quadruple Sculls
M4-,Men's Four
M8+,Men's Eight
W1x,Women's Single Sculls
W2x,Women's Double Sculls
W2-,Women's Pair
W4x,Women's Quadruple Sculls
W4-,Women's Four
W8+,Women's Eight
PR1 M1x,PR1 Men's Single Sculls
PR2 M1x,PR2 Men's Single Sculls
PR3 M2-,PR3 Men's Pair
PR1 W1x,PR1 Women's Single Sculls
PR2 W1x,PR2 Women's Single Sculls
PR2 Mix2x,PR2 Mixed Double Sculls
PR3 Mix4+,PR3 Mixed Coxed Four
PR3 Mix2x,PR3 Mixed Double Sculls
LM1x,Lightweight Men's Single Sculls
LW1x,Lightweight Women's Single Sculls
LM2x,Lightweight Men's Double Sculls
LW2x,Lightweight Women's Double Sculls
LM2-,Lightweight Men's Pair
LW2-,Lightweight Women's Pair
LM4x,Lwt. Men's Quadruple Sculls
LW4x,Lwt. Women's Quadruple Sculls
Mix2x,Mixed Double Sculls
MU15C2,Men's U15 Concept
WU15C2,Women's U15 Concept
JMix2x,Junior Mixed Double Sculls
